gid,objectid,sampleno,longitude,latitude,sio2,al2o3,fe2o3,tio2,cao,mgo,mno,na2o,k2o,p2o5,loi,ba,ga,sc,v,th,pb,ni,co,rb,sr,y,zr,nb,cr,cu,zn,au,li,cs,as_,sb,bi,se,ag,be,ge,mo,sn,la,ce,pr,nd,sm,eu,tb,gd,dy,ho,er,tm,yb,lu,hf,ta,w,u,pt,pd,toposheet,in_,f,te,tl,hg,cd
4255,4255,57F11/154/SS/12,77.749999,14.439189,64.083,15.89,4.65,0.06,1.06,2.31,2.09,3.52,0.69,0.16,4.907731,914,15.2,10.2,90,31.4,17.4,22.3,8.7,118.2,383.2,24.1,1524,13.2,63.4,40.5,31.3,14,11,5,1.66,0.1,0.12,0.13,75,1.535,1.002,2.5,2.5,31.362,79.538002,7.758,28.809,5.919,1.315,0.733,5.012,4.342,0.823,2.643,0.436,3.33,0.606,41.683998,1.06,2.5,6.362,0,0,57F11,0,0,0,0,12,50
4256,4256,57F11/155/SS/12,77.509259,14.457207,63.88,14.87,3.85,0.06,1.37,2.69,2.4,2.2,0.65,0.1,7.06,744,16,16,100,13,14,21,9,66,265,15,582,9,66,16,38,6,12,5,10,0.1,0.05,0.1,22,3.190281,1.293657,2.5,2.5,25.261828,51.686927,5.798371,19.365863,3.809458,1.078323,0.598942,3.703066,3.298977,0.608586,2.030065,0.367167,2.682864,0.425886,16.333727,0.701012,2.5,3.011623,0,0,57F11,0,0,0,0,11,50
4257,4257,57F11/156/SS/12,77.527778,14.457207,66.88,13.93,3.51,0.06,1.3,2.87,2.22,2.19,0.56,0.08,5.44,699,16,13,69,10,11,20,8,55,249,13,453,6,56,13,34,8,12,5,14,0.1,0.05,0.1,20,1.417352,0.887104,2.5,2.5,21.385335,43.37306,4.442072,19.565662,3.352929,1.241366,0.526398,2.82073,2.505749,0.453713,1.646395,0.239899,1.857655,0.375611,15.077456,0.651899,2.5,2.103284,0,0,57F11,0,0,0,0,8,50
4258,4258,57F11/157/SS/12,77.546296,14.457207,62.848,16.683,5.35,0.07,0.9,2.16,1.9,2.64,0.53,0.07,6.23941,772.7,17.1,12.3,74.2,8.4,20.4,23.7,9.5,82.2,226.1,18.7,481.9,7.6,50.6,24.4,29.7,1.5,18,5,1.71,0.1,0.05,0.16,10,1.240601,1.282826,2.5,2.5,23.027888,48.43831,5.015835,18.612233,3.719741,1.101668,0.574679,3.503408,3.405391,0.667148,2.123602,0.344993,2.1825,0.381131,18.780902,0.807497,2.5,2.197567,0,0,57F11,0,0,0,0,9,50
4259,4259,57F11/158/SS/12,77.564815,14.457207,61.596,17.05,5.52,0.07,1.12,2.85,2.2,2.51,0.64,0.08,5.809666,641.6,13.4,12.9,99.5,8.8,17.9,33.7,14.5,71.4,217.2,23.8,370.9,7.7,63.2,32.3,34.4,1.5,13,5,1.18,0.1,0.05,0.18,10,1.022675,1.088785,2.5,2.5,18.378512,37.649971,4.272482,16.340036,3.509026,1.176905,0.559495,3.394309,3.524148,0.65604,2.091204,0.361594,2.194803,0.399383,14.770183,0.788346,2.5,1.753038,0,0,57F11,0,0,0,0,7,50
4260,4260,57F11/159/SS/12,77.583333,14.457207,63.14,16.39,5.45,0.06,0.9,2.74,2.51,2.9,0.57,0.08,4.618915,767.4,17.1,11.6,88.3,11.3,20.4,24.5,11.3,83,246.6,18.9,596.1,7.5,51.8,28.4,32.8,1.5,12,5,1.01,0.1,0.05,0.19,10,1.078386,1.068228,2.5,2.5,26.809829,54.082126,6.021336,21.895097,4.504958,1.207223,0.653071,4.088314,4.261311,0.855158,2.708847,0.481623,3.20775,0.564708,25.662354,0.80301,2.5,3.182267,0,0,57F11,0,0,0,0,6,50
4261,4261,57F11/160/SS/12,77.601852,14.457207,62.212,16.96,5.05,0.06,1.13,2.3,1.81,2.43,0.6,0.07,6.858738,629.9,12.8,11.7,80.5,9.6,16.6,32.6,14.8,69.9,211,19.7,414,6.2,72.6,91,28.9,1.5,13,5,2.91,0.1,0.12,0.32,10,1.160016,1.067769,2.5,2.5,20.595712,42.09813,4.719094,18.320137,3.661051,1.102419,0.549837,3.397769,3.467358,0.67017,2.08106,0.351528,2.238085,0.378732,15.332925,0.803487,2.5,2.983199,0,0,57F11,0,0,0,0,8,50
4262,4262,57F11/161/SS/12,77.62037,14.457207,60.83,16.99,5.77,0.06,1.33,2.79,1.84,2.24,0.72,0.12,6.658016,741.9,14.9,13.7,104.6,5.9,17,34.9,16.6,62.4,289.8,15.6,441.6,7.6,67,34.4,39.4,1.5,10,5,1.75,0.1,0.05,0.15,10,0.91994,1.134157,2.5,2.5,30.060303,58.265541,6.810917,25.224062,4.755951,1.460614,0.624416,4.162992,3.69387,0.711765,2.105275,0.334438,2.128335,0.36325,16.49801,0.63919,2.5,2.062717,0,0,57F11,0,0,0,0,7,50
4263,4263,57F11/162/SS/12,77.638889,14.457207,63.812,14.272,5.47,0.07,1.53,3.61,1.86,2.52,0.93,0.16,5.244825,941,14.4,13.5,105,14.3,15.4,27.4,14.8,71.6,502.3,19.2,1341.5,13.3,67.9,22.6,35.5,1.5,9,5,1.81,0.1,0.1,0.1,20,1.186608,1.19463,2.5,2.5,33.386992,78.860655,9.2639,36.962569,7.269552,2.134972,0.866469,5.887962,4.882535,1.013007,3.069647,0.514507,3.576657,0.654002,53.549289,0.763543,2.5,4.431397,0,0,57F11,0,0,0,0,5,50
4264,4264,57F11/163/SS/12,77.657407,14.457207,61.9504,15.5,5.78,0.07,1.48,3.33,2.63,2.49,1.04,0.22,4.954731,865.3,14.4,12.7,107.2,17.2,12.1,29,13.1,64.9,426.3,21.1,1063.2,13.6,72.2,21.5,39.1,1.5,10,5,1.39,0.1,0.05,0.05,10,1.052438,1.011725,2.5,2.5,41.802416,89.062797,10.712385,40.634955,7.106054,1.996186,0.8398,5.661527,4.4611,0.851905,2.50576,0.409193,2.713052,0.479403,37.255707,0.710892,2.5,2.963544,0,0,57F11,0,0,0,0,5,50
