gid,objectid,sampleno,longitude,latitude,sio2,al2o3,fe2o3,tio2,cao,mgo,mno,na2o,k2o,p2o5,loi,ba,ga,sc,v,th,pb,ni,co,rb,sr,y,zr,nb,cr,cu,zn,au,li,cs,as_,sb,bi,se,ag,be,ge,mo,sn,la,ce,pr,nd,sm,eu,tb,gd,dy,ho,er,tm,yb,lu,hf,ta,w,u,pt,pd,toposheet,in_,f,te,tl,hg,cd
2947,2947,57F11/177/SS/12,77.657407,14.475225,61.921,14.606,4.51,0.05,2.28,3.24,1.52,2.46,0.61,0.13,8.148,826.5,11.3,11.1,72.5,16.6,12.4,24.8,11.4,74.2,375.7,21.7,695.4,6.9,49.9,23.2,32,1.5,12,5,1.35,0.1,0.05,0.18,25,0.902684,0.980504,2.5,2.5,37.722005,72.2323,8.555444,31.887143,5.576899,1.568522,0.674691,4.463554,3.725699,0.730795,2.139445,0.359742,2.290226,0.413697,26.874492,0.677483,2.5,3.016905,0,0,57F11,0,0,0,0,8,50
2948,2948,57F11/178/SS/12,77.675926,14.475225,62.077,13.75,4.22,0.05,2.43,4.14,1.52,2.55,0.64,0.12,7.836678,836.2,10.1,13.3,83.5,17,11.9,22.7,7.3,73.3,465.2,22,826.1,8.8,50.1,19.4,27.4,1.5,11,5,1.21,0.1,0.05,0.12,24,1.189926,1.028039,2.5,2.5,31.134342,63.086789,7.586066,28.995136,5.609441,1.435208,0.675635,4.62593,4.140085,0.783322,2.405519,0.419132,2.891123,0.500104,37.079419,0.774466,2.5,3.37855,0,0,57F11,0,0,0,0,9,50
2949,2949,57F11/179/SS/12,77.694444,14.475225,68.645,13.41,3.02,0.05,1.32,3.19,2.89,3.08,0.75,0.08,2.887008,1012.9,12.6,12,74.7,16.7,16.6,13,5.1,80,487.6,21.5,763.8,8.3,56.4,14.1,24.2,1.5,10,5,1.27,0.1,0.05,0.05,10,1.565,0.843,2.5,2.5,24.069,48.971001,5.755,21.624001,4.549,1.279,0.567,3.76,3.404,0.651,1.919,0.329,2.323,0.423,23.652,0.715,2.5,3.509,0,0,57F11,0,0,0,0,2.5,50
2950,2950,57F11/180/SS/12,77.712963,14.475225,64.95,14.28,3.46,0.05,1.75,3.1,2.34,2.82,0.6,0.12,5.844285,943.6,11.5,11.5,64.3,18.3,15.5,19.2,9,83.5,445.6,18.8,759.8,8.6,52.8,17.1,30,1.5,0,0,0,0,0,0,20,1.311,0.913,2.5,2.5,25.75,50.4,6.789,22.41,4.945,1.283,0.607,4.003,3.392,0.629,1.951,0.306,2.186,0.4,21.961,0.744,2.5,4.241,0,0,57F11,0,0,0,0,19,50
2951,2951,57F11/181/SS/12,77.731481,14.475225,64.302,14.01,4.08,0.05,1.84,3.24,2.12,2.83,0.75,0.16,6.073601,770.5,13.5,11.1,81,23.1,14.8,23.8,9.1,86.8,405.8,17.3,1001.3,10.1,59.8,18.2,31.8,1.5,12,5,1.26,0.1,0.12,0.05,23,1.536,0.947,2.5,2.5,27.639,56.014999,6.659,25.004,5.099,1.265,0.618,4.173,3.475,0.655,2.042,0.334,2.322,0.431,26.705,0.832,2.5,4.218,0,0,57F11,0,0,0,0,19,50
2952,2952,57F11/182/SS/12,77.749999,14.475225,64.346,14.94,5.25,0.07,1.38,2.59,2.31,2.95,1.05,0.17,4.410744,857.7,14.1,11.8,120.4,22.2,11.8,19.3,12.3,93.4,370.9,21.2,812.6,10.3,55.7,40.4,49.2,1.5,10,5,1.25,0.1,0.05,0.15,30,1.334,1.011,2.5,2.5,21.546,45.799,5.228,20.370001,4.218,1.276,0.571,3.751,3.457,0.65,1.978,0.32,2.311,0.403,23.323999,0.739,2.5,3.882,0,0,57F11,0,0,0,0,12,50
2953,2953,57F11/183/SS/12,77.509259,14.493242,65.4704,15.431,5.01,0.06,0.97,2.62,1.78,1.99,0.89,0.09,5.06696,675.3,13.6,13.1,97.5,8.9,16.7,18,9.7,48.2,238.4,17.9,814,9,61.5,17.4,27.8,1.5,10,5,1.5,0.1,0.05,0.05,10,1.053576,1.043445,2.5,2.5,26.347675,56.118818,6.123415,23.052365,4.505168,1.479,0.64444,4.126052,3.753795,0.744067,2.418039,0.400721,2.678618,0.491491,32.021118,0.704971,2.5,2.109419,0,0,57F11,0,0,0,0,5,50
2954,2954,57F11/184/SS/12,77.527778,14.493242,63.613,15.284,5.04,0.07,1.39,3.11,2.23,2.43,0.71,0.09,5.327869,725.5,13.9,13.8,93.7,8.7,17.5,35.4,14,67.6,271.4,19.2,570.8,9.6,78.3,25.1,31.6,8,11,5,2.18,0.26,0.05,0.14,22,0.991316,1.029867,2.5,2.5,24.707004,50.508562,5.406181,19.767675,3.902897,1.24853,0.563736,3.479381,3.181897,0.626503,1.961223,0.314897,2.123821,0.370558,17.071409,0.693911,2.5,1.852841,0,0,57F11,0,0,0,0,6,50
2955,2955,57F11/185/SS/12,77.546296,14.493242,61.56,14.83,4.07,0.06,1.56,3.98,1.85,2.51,0.61,0.11,8.13,764,17,15,82,12,11,26,9,71,311,13,463,6,76,17,40,1.5,16,5,17,0.1,0.15,0.1,34,1.775376,1.771406,2.5,2.5,23.309528,48.445961,5.118383,21.752626,3.839935,1.251318,0.508788,3.529157,2.92198,0.52459,1.729148,0.349109,2.111293,0.33124,18.161482,11.438623,2.5,3.164249,0,0,57F11,0,0,0,0,10,50
2956,2956,57F11/186/SS/12,77.564815,14.493242,61.94012,15.364,5.02,0.06,1.29,3.23,1.95,2.39,0.65,0.28,7.187439,772.2,11.3,11.6,86.9,9.8,17.1,27.9,10.8,63.6,283.4,21.9,453.7,6.7,66.6,26.8,40.4,20,15,5,1.33,0.1,0.05,0.2,137,1.51747,1.20576,2.5,2.5,26.657001,56.11201,6.265094,23.953863,4.725284,1.520664,0.732299,4.444095,4.399529,0.858414,2.752729,0.440768,2.99592,0.529154,22.014712,0.827045,2.5,2.475858,0,0,57F11,0,0,0,0,22,50
2957,2957,57F11/187/SS/12,77.583333,14.493242,57.74,16.462,6.36,0.08,2.29,3.1,1.53,2.14,0.81,0.12,8.696087,591.5,14.3,14.9,116.9,9.3,14.7,59.2,16.5,64.8,238.3,18,425.9,8.6,135.4,32.6,40,1.5,25,5,1.7,0.1,0.05,0.17,34,1.231265,1.171531,2.5,2.5,29.094922,60.067221,6.554683,24.316941,4.809757,1.528099,0.809806,4.798224,4.69319,0.920575,2.828351,0.446062,2.701716,0.500542,16.354219,0.84769,2.5,2.133529,0,0,57F11,0,0,0,0,9,50
2958,2958,57F11/188/SS/12,77.601852,14.493242,57.7808,14.83,5.98,0.08,2.39,5.79,1.86,1.88,0.68,0.11,8.057109,530.6,12.7,18.2,107.7,7.2,13.7,48.5,20.9,53.9,277,18.4,316.8,5.1,79.8,34.2,37.3,1.5,19,5,1.07,0.1,0.1,0.13,24,0.993239,0.994461,2.5,2.5,22.026462,43.82433,4.999456,18.806615,3.819082,1.192262,0.650031,3.932063,3.926983,0.765116,2.536225,0.382184,2.45063,0.444163,14.363907,0.616939,2.5,1.947144,0,0,57F11,0,0,0,0,7,50
2959,2959,57F11/189/SS/12,77.62037,14.493242,58.811,13.18,4.96,0.06,2.65,5.69,1.82,2.08,0.69,0.25,9.284506,673.1,11.9,14.3,86.5,12.3,15.4,31.8,12.9,59.1,404.7,20.7,393.8,9.2,62.2,30.3,43.2,8,17,5,1.12,0.1,0.05,0.18,119,1.080938,0.84705,2.5,2.5,31.768013,65.716771,7.47105,28.518957,5.213599,1.49846,0.711881,4.617791,3.826884,0.739542,2.410593,0.361112,2.300393,0.41968,16.650778,0.766552,2.5,2.17105,0,0,57F11,0,0,0,0,15,50
2960,2960,57F11/190/SS/12,77.638889,14.493242,65.382,14.119,4.43,0.05,1.23,2.9,2.11,2.89,0.56,0.1,5.691628,854.7,14.1,11.5,72.9,26.6,13.6,23.6,8.2,75,484,23.6,849.8,8.2,48.1,23.1,26.4,1.5,10,5,1,0.1,0.05,0.05,23,1.276047,0.894532,2.5,2.5,32.675789,72.694462,7.905247,29.802487,5.729033,1.609812,0.731481,4.883525,4.092169,0.795528,2.471205,0.42634,2.770217,0.506939,32.397465,0.763293,2.5,3.471209,0,0,57F11,0,0,0,0,6,50
2961,2961,57F11/191/SS/12,77.657407,14.493242,67.932,13.419,3.88,0.05,1.15,2.73,2.13,3.06,0.56,0.11,4.291546,896.5,11.1,11.4,68.4,21.1,11.7,16.4,9.8,82.5,394.9,23,932.8,6.9,46.2,14.7,25.4,1.5,10,5,1.09,0.1,0.05,0.11,28,1.120804,0.835638,2.5,2.5,28.247661,60.496351,6.778358,25.886296,5.025472,1.395761,0.677101,4.47438,3.998704,0.778252,2.411641,0.430245,2.821777,0.545855,36.3531,0.713446,2.5,3.991571,0,0,57F11,0,0,0,0,7,50
2962,2962,57F11/192/SS/12,77.675926,14.493242,62.113,15.298,4.65,0.05,1.51,3.21,1.63,2.78,0.64,0.11,7.474666,843.2,12.1,12.3,78.8,48.4,1,28.2,11.3,82.7,357.9,27.3,1854.5,10.8,55.4,18.8,31.7,1.5,14,15,1.62,0.1,0.05,0.17,24,1.126179,0.833909,2.5,2.5,29.648977,71.112482,7.415717,28.275716,5.802668,1.6188,0.903798,5.611235,5.63486,1.123342,3.800399,0.648152,4.648219,0.882033,72.226086,0.858517,2.5,6.56993,0,0,57F11,0,0,0,0,7,50
2963,2963,57F11/193/SS/12,77.694444,14.493242,62.184,15.65,4.34,0.05,1.17,3.77,2.01,2.96,0.63,0.15,6.515666,843,14.7,10.3,79.7,24.9,14.4,19.1,7.6,92.8,368.9,22.7,1126.7,11.1,58.3,19.7,35.8,1.5,12,5,1.8,0.1,0.1,0.16,31,1.935,0.896,2.5,2.5,28.351,61.280998,6.788,25.070999,5.107,1.288,0.696,4.435,4.502,0.88,2.868,0.474,3.447,0.638,33.165001,0.997,2.5,5.008,0,0,57F11,0,0,0,0,15,50
2964,2964,57F11/194/SS/12,77.712963,14.493242,62.296,15.04,4.12,0.05,1.66,3.44,2.07,2.91,0.63,0.13,6.983463,835.8,16.1,11.6,70.8,19.9,15.5,25.5,13.2,94.4,429.6,20.6,921.8,9.9,61.8,21,37.1,1.5,13,5,1.37,0.1,0.05,0.13,40,1.228,0.924,2.5,2.5,30.395,65.860001,7.352,27.183001,5.183,1.309,0.607,4.216,3.565,0.656,2.029,0.33,2.417,0.424,27.608,0.875,2.5,4.39,0,0,57F11,0,0,0,0,13,128
2965,2965,57F11/195/SS/12,77.731481,14.493242,67.146,14.46,4.05,0.05,0.98,2.16,2.51,3.63,0.71,0.13,3.517488,931.6,12.5,8.9,73.8,34.9,7.9,20.7,8.9,106,395.7,24.5,1459.1,11.3,53.5,17.4,32.4,1.5,11,5,1.14,0.1,0.05,0.1,10,1.651,0.892,2.5,2.5,22.184999,52.832001,5.688,21.618999,4.508,1.205,0.571,3.816,3.332,0.669,2.166,0.349,2.778,0.515,41.530998,0.972,2.5,5.467,0,0,57F11,0,0,0,0,14,50
2966,2966,57F11/196/SS/12,77.749999,14.493242,65.621,14.38,3.86,0.06,1.26,3.08,2.55,3.14,0.74,0.11,4.545002,769.4,14.1,11.5,81.5,24.7,13.3,16.9,10.3,98.2,399.7,22.2,1030.1,10.6,57.7,16.6,32.4,1.5,13,5,1.06,0.1,0.05,0.05,31,1.287,0.986,2.5,2.5,29.09,62.312,7.105,26.780001,5.284,1.295,0.648,4.4,3.754,0.689,2.052,0.34,2.401,0.427,26.916,0.845,2.5,4.209,0,0,57F11,0,0,0,0,7,109
3604,3604,57F11/001/SS/12,77.509259,14.259009,51.63,14.6,10.6,0.21,5.72,4.51,1.24,1.32,0.93,0.1,8.28,621,20,26,347,8,14,249,54,42,141,20,139,6,883,75,61,16,10,5,24,0.95,0.15,0.1,29,0.47937,1.35819,2.5,2.5,12.613646,29.726573,3.438212,15.304363,3.299422,1.297365,0.716509,4.095516,3.923818,0.82589,2.18419,0.440722,2.795697,0.506585,5.730581,0.553785,2.5,1.422113,0,0,57F11,0,0,0,0,15,50
3605,3605,57F11/002/SS/12,77.527778,14.259009,46.57,16.25,12.25,0.22,4.29,7.24,1.19,0.42,1.91,0.11,8.76,332,20,26,500,6,19,105,46,9,97,23,118,8,317,74,92,20,10,5,26,0.37,0.05,0.1,20,0.345934,0.999304,2.5,2.5,7.202825,18.3777,2.267578,11.735994,2.645753,1.143578,0.668166,3.894894,4.674098,0.964227,2.845634,0.474258,2.824221,0.537779,3.272624,0.499234,2.5,0.507633,0,0,57F11,0,0,0,0,11,50
3606,3606,57F11/003/SS/12,77.546296,14.259009,51.52,17.06,9.65,0.18,2.87,6.33,1.62,1.33,1.04,0.08,7.41,537,22,24,353,9,19,101,41,42,157,22,158,8,357,56,71,1.5,11,5,21,0.1,0.05,0.1,21,1.451631,1.592008,2.5,2.5,14.551965,30.826728,3.428271,15.635436,3.200385,1.034803,0.664599,3.522444,3.907268,0.885749,2.379616,0.433366,2.675323,0.386266,6.252109,0.650845,2.5,1.576927,0,0,57F11,0,0,0,0,10,50
3607,3607,57F11/004/SS/12,77.564815,14.259009,58.29,15.83,5.9,0.1,2.3,4.02,1.94,2.52,0.92,0.09,7.36,823,19,21,216,11,21,52,19,71,240,21,339,9,237,31,47,1.5,13,5,19,0.1,0.12,0.1,21,0.478796,0.994089,2.5,2.5,19.856408,40.348621,4.355753,17.820404,3.327182,0.992376,0.615579,3.322097,3.565493,0.629483,1.637641,0.327099,2.250446,0.363921,9.934193,0.772174,2.5,2.388223,0,0,57F11,0,0,0,0,11,50
3608,3608,57F11/005/SS/12,77.583333,14.259009,60.78,15.62,4.91,0.06,2,3.29,1.51,2.17,0.66,0.13,8.313325,678.5,11.8,13.1,84.6,6.4,20.4,33.4,12.8,66.8,255.6,18.8,355.9,6,68.9,31.6,33.4,8,19,5,2.31,0.1,0.05,0.05,95,1.025071,0.938155,2.5,2.5,24.530987,46.948609,5.339623,19.593133,3.940228,1.183658,0.56221,3.566874,3.53047,0.729071,2.021384,0.342471,2.142463,0.36442,17.062474,0.691182,2.5,2.201498,0,0,57F11,0,0,0,0,23,50
3609,3609,57F11/006/SS/12,77.601852,14.259009,64.25,15.95,3.89,0.05,1.37,2.99,2.72,2.69,0.56,0.1,4.858057,932.4,16.3,11.6,68.1,7.8,19.1,32.9,9.6,61.7,396.6,12.9,355.3,5.5,73.7,19.7,35.6,14,14,5,0.5,0.1,0.05,0.05,10,1.079132,0.706376,2.5,2.5,11.781319,24.981465,2.793539,10.548368,2.284268,0.790664,0.324134,1.956252,1.846821,0.378259,1.110256,0.190896,1.1892,0.209466,14.447118,0.475342,2.5,1.611329,0,0,57F11,0,0,0,0,6,50
3610,3610,57F11/007/SS/12,77.62037,14.259009,62.27,17.12,4.722,0.05,1.35,3.17,3.09,2.25,0.64,0.08,4.747656,662.3,16.5,13.5,83.9,8.2,17.6,25.3,12.3,56.1,430.6,13.2,303.7,5.7,61.2,21.9,38,1.5,17,5,1.07,0.1,0.05,0.05,10,1.713,0.889,2.5,2.5,16.511999,33.009998,3.8,14.24,2.863,0.98,0.358,2.301,1.986,0.369,1.106,0.175,1.174,0.195,8.482,0.595,2.5,1.656,0,0,57F11,0,0,0,0,17,50
3611,3611,57F11/008/SS/12,77.638889,14.259009,59.11,17.7,4.724,0.05,1.48,3.49,2.1,2.21,0.62,0.1,7.662531,752.6,16.3,11.5,60.2,12.9,15.7,23.2,12,64.4,244,20.6,540.2,9.3,59.5,27.8,47.1,1.5,20,5,1.08,0.1,0.05,0.05,20,1.598,0.969,2.5,2.5,45.365002,89.962997,8.816,30.111,5.057,1.238,0.567,4.025,2.992,0.511,1.532,0.244,1.64,0.264,18.868,0.797,2.5,2.13,0,0,57F11,0,0,0,0,18,50
3612,3612,57F11/009/SS/12,77.657407,14.259009,62.75,17.97,4.23,0.05,1.18,2.21,2.79,2.73,0.55,0.11,4.834351,826,16.9,10.6,64.2,14.6,18.8,18.3,9.8,75.8,315.1,15.1,675.8,7.9,54.5,20.4,38.8,1.5,19,5,0.5,0.1,0.05,0.05,10,1.831,0.894,2.5,2.5,24.288,51.200001,5.291,18.993,3.717,1.151,0.449,2.959,2.628,0.493,1.51,0.256,1.859,0.313,23.771,0.763,2.5,2.796,0,0,57F11,0,0,0,0,6,50
3684,3684,57F11/010/SS/12,77.675926,14.259009,58.845,17.56,5.84,0.07,2.06,2.71,2.21,2.53,0.78,0.16,6.571742,804,17.9,13.3,98.4,11.5,16.3,34.5,14.6,85.9,339.7,16.6,635.5,9.8,81.2,35.1,43.7,1.5,16,5,0.5,0.1,0.12,0.05,20,2.032,1.104,2.5,2.5,36.667999,73.542999,8.127,29.6,5.407,1.447,0.64,4.322,3.562,0.662,1.973,0.334,2.185,0.374,22.099001,0.958,2.5,2.655,0,0,57F11,0,0,0,0,9,50
3685,3685,57F11/011/SS/12,77.694444,14.259009,57.45,17.6,6.945,0.08,2.2,3.47,2.24,2.26,1.34,0.17,5.811643,771.4,19.1,16.6,147.2,14.8,16.9,34.5,21.4,71.4,404.2,28,974.1,15.1,89.8,38,51.1,1.5,18,5,1.33,0.1,0.05,0.05,20,2.226,1.17,2.5,2.5,36.008999,80.115997,9.1,36.106998,7.135,1.891,0.935,6.123,5.388,0.997,2.989,0.475,3.22,0.537,29.135,1.251,2.5,3.901,0,0,57F11,0,0,0,0,7,101
3686,3686,57F11/012/SS/12,77.712963,14.259009,55.59,16.05,5.57,0.08,1.73,4.62,1.67,2.17,0.71,0.17,10.997213,765.8,18.5,14.4,95.3,14.9,17.6,35.3,17.3,76.1,271.1,19.7,458.1,12.2,153.8,36.8,51.2,1.5,10,5,2.24,0.1,0.16,0.19,36,1.318,0.7,2.5,2.5,36.421001,72.357002,7.361,27.160999,5.015,1.583,0.546,3.862,3.09,0.576,1.696,0.273,1.857,0.313,15.814,0.712,2.5,2.463,0,0,57F11,0,0,0,0,8,50
3687,3687,57F11/013/SS/12,77.731481,14.259009,61.2,15.65,4.9,0.06,1.88,2.74,2,2.73,0.66,0.14,7.467726,842.2,16.9,13.1,98.4,22.7,12.6,28.1,13,96,395,18.3,777.5,13.7,86.3,27.2,45,1.5,10,5,1.79,0.1,0.15,0.17,54,1.375,0.731,2.5,2.5,30.247999,64.428001,6.695,24.629,4.986,1.634,0.564,3.951,3.292,0.652,1.978,0.34,2.318,0.42,28.443001,0.892,2.5,2.771,0,0,57F11,0,0,0,0,10,50
3688,3688,57F11/014/SS/12,77.749999,14.259009,57.71,15.02,5.23,0.08,2.34,4.18,1.55,2.48,0.79,0.16,9.891531,812.1,15.8,15,99.7,15.9,15.5,34.1,14.8,92,417.7,17.8,492.6,14.1,116,26.6,42.8,1.5,12,5,1.33,0.1,0.14,0.21,67,1.43,0.673,2.5,2.5,30.035,59.550999,6.666,25.547001,4.95,1.617,0.554,3.838,3.226,0.636,1.89,0.307,2.026,0.34,15.92,0.906,2.5,2.31,0,0,57F11,0,0,0,0,7,50
3689,3689,57F11/015/SS/12,77.509259,14.277027,44.1,17.54,12.18,0.22,3.59,6.15,1.11,0.63,1.59,0.12,12.03,418,26,29,479,7,17,104,51,14,155,26,142,7,315,92,83,1.5,14,5,24,0.35,0.05,0.2,24,0.37,1.608136,2.5,2.5,12.381957,28.775133,3.755674,17.124539,3.728858,1.525325,0.870643,4.879108,5.614059,1.019071,2.775518,0.467532,3.291573,0.502842,4.132701,0.56059,2.5,0.735488,0,0,57F11,0,0,0,0,35,50
3690,3690,57F11/016/SS/12,77.527778,14.277027,50.69,15.67,9.32,0.17,3.78,6.8,1.38,1.17,1.51,0.1,8.52,477,20,23,382,7,19,81,37,28,154,21,181,9,293,57,77,1.5,11,5,30,0.1,0.05,0.1,20,1.120603,1.309985,2.5,2.5,8.286462,19.360808,2.423906,10.143419,2.424225,0.946736,0.594168,3.244322,3.259871,0.696902,2.012869,0.353407,2.414858,0.353081,5.665618,0.55824,2.5,0.902144,0,0,57F11,0,0,0,0,10,50
3691,3691,57F11/017/SS/12,77.546296,14.277027,63.44,15.72,4.46,0.08,1.12,2.17,2.35,3.07,0.72,0.1,5.98,1018,19,16,130,12,14,27,14,79,191,20,398,10,127,19,35,1.5,11,5,27,0.1,0.24,0.1,23,1.018649,1.062434,2.5,2.5,22.876869,44.005202,4.468767,17.986182,3.215076,0.857998,0.639996,2.918288,3.381635,0.678373,2.038866,0.346333,2.580541,0.436083,11.375439,1.136139,2.5,2.311441,0,0,57F11,0,0,0,0,8,50
3692,3692,57F11/018/SS/12,77.564815,14.277027,61.838,16.55,5.25,0.06,1.4,2.95,1.89,2.52,0.72,0.11,6.099631,632,13.5,13.3,87.7,7.9,18.9,28.7,12.5,81.9,207.2,27.5,336.3,8.1,51.2,34.1,36.6,1.5,18,5,1.39,0.1,0.05,0.13,10,1.214442,1.042111,2.5,2.5,24.900737,46.266338,5.493103,20.738474,4.230301,1.308309,0.714047,4.122841,4.512971,0.966261,2.921285,0.491326,3.189994,0.543138,14.109996,1.053744,2.5,2.396321,0,0,57F11,0,0,0,0,6,50
3693,3693,57F11/019/SS/12,77.583333,14.277027,66.185,13.651,3.88,0.06,2.16,3.55,2.28,2.5,0.68,0.09,4.378616,713.4,10.3,12.7,74.4,9.2,16.7,27.4,12,68.9,249.9,22.2,411.7,7.7,51.9,16.1,27.1,1.5,15,5,2.13,0.1,0.05,0.05,10,1.054239,0.883426,2.5,2.5,16.966184,31.900848,3.919002,15.528584,3.36624,1.113328,0.635865,3.627017,4.111914,0.89026,2.715224,0.47845,3.05276,0.504653,15.202209,0.725758,2.5,2.116546,0,0,57F11,0,0,0,0,2.5,50
3694,3694,57F11/020/SS/12,77.601852,14.277027,64.6801,15.297,4.02,0.05,1.41,3.38,2.44,2.59,0.62,0.07,4.867169,759.2,12.5,11.8,74.7,7.7,16.4,24.3,9.5,62.9,305.9,19.5,391.8,5.9,55.1,16.3,29.7,1.5,10,5,1.76,0.1,0.05,0.05,10,1.223416,1.026695,2.5,2.5,15.508549,31.540878,3.740118,14.496059,3.137878,1.028294,0.481137,2.958735,3.055283,0.589985,1.829573,0.309193,2.050224,0.320295,14.428011,0.58547,2.5,1.765707,0,0,57F11,0,0,0,0,2.5,50
3695,3695,57F11/021/SS/12,77.62037,14.277027,64.78,16.48,3.844,0.05,0.95,2.31,2.94,2.38,0.53,0.1,4.822539,712,16.9,10.5,67.6,7.9,16.4,17.5,8.3,62,372.5,14.8,427.7,5.2,43.8,16.7,35.7,1.5,21,5,0.5,0.1,0.05,0.05,10,1.801,0.793,2.5,2.5,15.285,32.262001,3.422,12.943,2.781,0.905,0.347,2.304,2.082,0.39,1.243,0.191,1.302,0.214,12.157,0.612,2.5,1.862,0,0,57F11,0,0,0,0,7,50
3696,3696,57F11/022/SS/12,77.638889,14.277027,61.54,17.05,5.44,0.06,1.08,2.12,2.34,2.42,0.83,0.1,6.543987,786.2,14.6,10.4,89.1,11.1,16.2,18,10.4,65.5,241,18.2,567.8,8.6,66.8,24.3,41.7,1.5,20,5,1.14,0.1,0.05,0.05,22,1.772,0.974,2.5,2.5,27.101,53.873001,5.709,20.309,3.693,1.098,0.466,3.064,2.736,0.508,1.561,0.255,1.779,0.281,15.442,0.901,2.5,2.528,0,0,57F11,0,0,0,0,7,50
3697,3697,57F11/023/SS/12,77.657407,14.277027,62.12,17.25,3.73,0.06,1.37,2.38,2.71,2.77,0.54,0.11,5.969403,788.5,16.1,9.9,60.4,11.9,18,21.4,9.4,78.6,312.9,13.8,457.6,7.5,69.2,23.2,40.2,1.5,18,5,0.5,0.1,0.05,0.05,21,1.908,1.051,2.5,2.5,28.917,55.631001,6.014,21.405001,4.158,1.211,0.498,3.402,2.828,0.511,1.527,0.256,1.669,0.28,17.631001,0.748,2.5,2.323,0,0,57F11,0,0,0,0,7,50
3698,3698,57F11/024/SS/12,77.675926,14.277027,59.52,16.1,6,0.07,2.06,3.51,1.99,2.17,0.88,0.15,6.960256,944,15.4,13.6,108.1,10.4,16.9,38.4,19.3,72,434.2,20.1,891,15.8,77.3,34.3,49.5,1.5,18,5,1.9,0.1,0.18,0.1,10,1.825,1.247,2.5,2.5,44.034,89.809998,11.319,46.009998,9.174,2.673,1.085,7.554,5.927,1.108,3.287,0.563,3.628,0.637,38.967999,0.964,2.5,3.665,0,0,57F11,0,0,0,0,6,50
3699,3699,57F11/025/SS/12,77.694444,14.277027,62.45,15.29,5.57,0.07,1.85,2.33,2.06,2.5,0.77,0.12,6.284072,764.3,17.1,11.3,89,13.6,20.2,83.3,18.1,85.4,269.5,16.4,678.3,14.4,135.9,50.9,40.4,1.5,9,5,1.67,0.1,0.14,0.19,20,1.688,0.769,2.5,2.5,20.750999,42.951,4.903,19.153,4.203,1.494,0.552,3.636,3.242,0.665,1.849,0.323,2.113,0.354,21.257,0.832,2.5,4,0,0,57F11,0,0,0,0,5,50
3700,3700,57F11/026/SS/12,77.712963,14.277027,63.92,14.44,4.35,0.05,1.83,2.91,2.09,2.41,0.65,0.15,6.521092,815.7,12.7,11.2,83.3,14.1,17.4,22.5,10.6,70.5,378.2,16.8,854.4,12.1,61.4,24.4,45.4,1.5,8,5,1.94,0.1,0.13,0.11,21,1.35,0.63,2.5,2.5,29.85,59.87,6.84,25.35,5.3,1.65,0.53,3.98,3.1,0.564,1.83,0.31,1.948,0.335,29.74,0.61,2.5,2.356,0,0,57F11,0,0,0,0,2.5,50
3701,3701,57F11/027/SS/12,77.731481,14.277027,61.3,15.92,4.48,0.06,1.27,2.24,1.85,3.01,0.63,0.14,8.519108,883.4,13.5,10.2,79.5,26.4,14.7,32.8,12.5,99.1,355.5,19.1,981.8,12.6,85,27.8,34.3,1.5,2.5,5,2.65,0.1,0.13,0.1,27,1.217,0.951,2.5,2.5,42.916,89.306,9.41,35.470001,6.82,2.054,0.753,5.185,4.301,0.799,2.406,0.405,2.769,0.485,32.659,1.133,2.5,4.457,0,0,57F11,0,0,0,0,2.5,50
3702,3702,57F11/028/SS/12,77.749999,14.277027,59.42,17.29,5.04,0.06,1.57,2.1,1.87,2.92,0.63,0.15,8.436945,897.6,14.9,9.8,87.9,21.5,18.9,25.1,10.8,97,401,12.7,733.3,14.7,106.1,23.1,48.1,1.5,8,5,2.36,0.1,0.13,0.11,41,1.849,0.744,2.5,2.5,31.59,65.977997,6.902,26.233999,5.245,1.678,0.556,3.813,2.908,0.6,1.91,0.313,2.174,0.387,24.959,1.061,2.5,3.081,0,0,57F11,0,0,0,0,2.5,50
3703,3703,57F11/029/SS/12,77.509259,14.295045,50.85,16.47,9.14,0.17,3.23,5.44,1.47,1.55,1.23,0.08,9.59,638,21,26,367,19,8,91,37,42,163,27,389,9,444,63,78,20,11,5,30,0.65,0.05,0.2,10,1.368668,1.437143,2.5,2.5,32.619203,65.282919,6.543362,22.777208,4.690682,1.36621,0.710843,4.390837,4.763458,0.892085,2.682656,0.460854,3.500444,0.516179,10.415206,0.921966,2.5,3.052,0,0,57F11,0,0,0,0,14,50
3704,3704,57F11/030/SS/12,77.527778,14.295045,53.79,16.11,9.07,0.17,3.18,5.87,1.53,1.24,0.99,0.08,7.11,547,21,26,329,6,19,91,38,32,162,19,162,9,305,54,66,1.5,9,5,20,0.1,0.05,0.1,10,0.434485,1.843421,2.5,2.5,8.475093,18.581674,2.304334,10.11177,2.379646,0.982153,0.511919,3.239738,3.395132,0.679248,1.837501,0.274281,2.383434,0.348331,4.356398,0.524809,2.5,1.027386,0,0,57F11,0,0,0,0,9,50
