gid,objectid,observed_m,igrf_nt,magnetic_a,longitude_,latitude_r,toposheet
317496,317496,41592.1309,41556.74142,35.38948653,77.64731,14.26006,57F/11
317497,317497,41606.13118,41570.23445,35.8967262,77.58467,14.32494,57F/11
317498,317498,41635.13197,41599.22241,35.90955237,77.72097,14.37639,57F/11
317499,317499,41662.13252,41626.106,36.02652059,77.61306,14.49833,57F/11
317500,317500,41653.13224,41616.20562,36.92661436,77.54919,14.48647,57F/11
317501,317501,41601.13104,41563.79715,37.33389114,77.60225,14.29803,57F/11
317502,317502,41622.13155,41583.82672,38.30482764,77.64939,14.34881,57F/11
317503,317503,41645.13213,41606.75162,38.38051003,77.70286,14.40683,57F/11
317504,317504,41650.13224,41611.6152,38.51703873,77.69039,14.42669,57F/11
317505,317505,41623.13155,41583.65997,39.47158205,77.65908,14.34514,57F/11
317506,317506,41588.13058,41547.27916,40.85141266,77.51306,14.27239,57F/11
317507,317507,41663.13242,41621.23143,41.90098911,77.62886,14.47753,57F/11
317508,317508,41647.13197,41604.6823,42.44966711,77.55392,14.44756,57F/11
317509,317509,41600.1309,41557.37169,42.75921756,77.62981,14.26783,57F/11
317510,317510,41626.13155,41583.08102,43.05052283,77.67086,14.33944,57F/11
317511,317511,41650.13204,41606.7279,43.4041418,77.58058,14.44572,57F/11
317512,317512,41593.13063,41549.5912,43.53943279,77.51094,14.28072,57F/11
317513,317513,41664.13243,41620.09401,44.03842056,77.68519,14.45597,57F/11
317514,317514,41593.13063,41548.01077,45.11985777,77.55419,14.26142,57F/11
317515,317515,41605.13096,41559.78696,45.34400079,77.62886,14.27614,57F/11
317516,317516,41647.13191,41600.25436,46.87755462,77.62172,14.4115,57F/11
317517,317517,41646.13181,41599.05484,47.07697699,77.52608,14.43811,57F/11
317518,317518,41670.13247,41622.63688,47.49558627,77.65361,14.47425,57F/11
317519,317519,41636.13156,41588.60375,47.52781131,77.51386,14.40794,57F/11
317520,317520,41607.13095,41558.98915,48.14179394,77.63347,14.272,57F/11
317521,317521,41654.13196,41605.05071,49.08124951,77.526,14.45764,57F/11
317522,317522,41643.13168,41593.44419,49.68748833,77.52503,14.42017,57F/11
317523,317523,41623.13135,41572.89475,50.2365987,77.73247,14.28594,57F/11
317524,317524,41647.13182,41596.11637,51.01545274,77.62425,14.39717,57F/11
317525,317525,41612.13094,41560.79103,51.33990321,77.56347,14.30067,57F/11
